timestamp,website_url,error_type,error_message,region
2026-02-23T20:34:25.434Z,azurewebsites.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.azurewebsites.net,us
2026-02-23T20:34:44.711Z,bidswitch.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.bidswitch.net,us
2026-02-23T20:34:52.072Z,aboutads.info,internal,Error: net::ERR_TIMED_OUT at http://aboutads.info,us
2026-02-23T20:34:54.687Z,sina.com.cn,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:34:57.486Z,shutterstock.com,http,403,us
2026-02-23T20:35:20.040Z,merriam-webster.com,internal,TypeError: Cannot read properties of undefined (reading 'length'),us
2026-02-23T20:35:33.300Z,accuweather.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:35:37.975Z,cambridge.org,http,403,us
2026-02-23T20:35:47.402Z,fandom.com,http,403,us
2026-02-23T20:35:48.352Z,agkn.com,http,404,us
2026-02-23T20:35:53.429Z,zillow.com,http,403,us
2026-02-23T20:35:54.622Z,heylink.me,http,403,us
2026-02-23T20:36:41.069Z,wildberries.ru,http,498,us
2026-02-23T20:36:41.408Z,mdpi.com,http,403,us
2026-02-23T20:36:50.631Z,fiverr.com,http,403,us
2026-02-23T20:36:53.014Z,liadm.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.liadm.com,us
2026-02-23T20:37:14.143Z,curseforge.com,http,403,us
2026-02-23T20:37:18.811Z,allaboutcookies.org,http,403,us
2026-02-23T20:37:24.592Z,ozon.ru,http,403,us
2026-02-23T20:37:34.797Z,avast.com,internal,TypeError: Cannot read properties of undefined (reading 'length'),us
2026-02-23T20:37:40.021Z,creativecdn.com,internal,Error: net::ERR_ABORTED at http://creativecdn.com,us
2026-02-23T20:38:57.685Z,33across.com,http,403,us
2026-02-23T20:39:00.068Z,fda.gov,http,404,us
2026-02-23T20:39:23.420Z,webmd.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:39:33.498Z,githubusercontent.com,http,500,us
2026-02-23T20:39:38.944Z,everesttech.net,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:39:42.343Z,pexels.com,http,403,us
2026-02-23T20:40:06.562Z,hm.com,http,403,us
2026-02-23T20:40:18.536Z,mlb.com,internal,Error: Page crashed!,us
2026-02-23T20:40:20.023Z,recaptcha.net,http,404,us
2026-02-23T20:40:29.850Z,iso.org,http,403,us
2026-02-23T20:40:35.173Z,kickstarter.com,http,403,us
2026-02-23T20:40:42.573Z,criteo.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.criteo.net,us
2026-02-23T20:40:50.006Z,adjust.com,http,429,us
2026-02-23T20:40:58.375Z,grammarly.io,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.grammarly.io,us
2026-02-23T20:41:22.278Z,yieldmo.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:41:50.435Z,mckinsey.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:41:53.903Z,omnitagjs.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.omnitagjs.com,us
