timestamp,website_url,error_type,error_message,region
2026-02-23T22:48:42.531Z,gcdn.co,internal,Error: net::ERR_EMPTY_RESPONSE at http://gcdn.co,germany
2026-02-23T22:48:56.991Z,dkitrxmdwoqruvsi.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.dkitrxmdwoqruvsi.net,germany
2026-02-23T22:49:06.732Z,byteoversea.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.byteoversea.com,germany
2026-02-23T22:49:35.359Z,x3os.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.x3os.com,germany
2026-02-23T22:50:16.903Z,banvenez.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.banvenez.com,germany
2026-02-23T22:50:18.390Z,fmkorea.com,http,430,germany
2026-02-23T22:50:19.876Z,xbato.com,http,523,germany
2026-02-23T22:51:38.510Z,coolmathgames.com,internal,TypeError: Cannot read properties of undefined (reading 'length'),germany
2026-02-23T22:53:15.016Z,up.gov.in,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T22:54:34.679Z,hanime1.me,http,403,germany
2026-02-23T22:54:50.325Z,luxuretv.com,http,403,germany
2026-02-23T22:54:51.606Z,missav.ai,http,403,germany
2026-02-23T22:54:51.839Z,mangabuff.ru,http,403,germany
2026-02-23T22:54:57.928Z,sondakika.com,internal,TypeError: Cannot read properties of undefined (reading 'length'),germany
2026-02-23T22:55:03.824Z,bato.to,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T22:55:26.829Z,shahvani.com,http,403,germany
2026-02-23T22:55:37.549Z,supjav.com,http,403,germany
2026-02-23T22:55:40.287Z,futbin.com,internal,TypeError: Cannot read properties of undefined (reading 'length'),germany
2026-02-23T22:55:41.212Z,upmusics.com,internal,Error: net::ERR_INVALID_REDIRECT at http://upmusics.com,germany
2026-02-23T22:55:41.752Z,wnacg.com,http,403,germany
2026-02-23T22:55:56.084Z,ptt.cc,internal,Error: net::ERR_CONNECTION_CLOSED at http://ptt.cc,germany
2026-02-23T22:55:57.931Z,bb2r.com,http,409,germany
2026-02-23T22:56:00.035Z,simpcity.cr,http,504,germany
2026-02-23T22:56:10.723Z,ifilo.net,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T22:56:37.387Z,aajtak.in,http,403,germany
2026-02-23T22:56:50.408Z,casinoplus.com.ph,http,403,germany
2026-02-23T22:57:22.596Z,cardmarket.com,http,403,germany
2026-02-23T22:58:01.534Z,bank.in,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.bank.in,germany
2026-02-23T22:59:14.726Z,playtime.ph,http,403,germany
2026-02-23T22:59:32.597Z,parivahan.gov.in,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T22:59:42.808Z,bt.dk,internal,TypeError: Cannot read properties of undefined (reading 'length'),germany
2026-02-23T22:59:56.843Z,bato.si,http,523,germany
2026-02-23T23:01:25.568Z,nustargame.com,http,403,germany
2026-02-23T23:01:27.848Z,lausd.net,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T23:01:29.005Z,bingoplus.com,http,403,germany
2026-02-23T23:04:05.413Z,skokka.com,http,403,germany
2026-02-23T23:04:07.211Z,xhcopy.life,http,439,germany
2026-02-23T23:04:07.804Z,myreadingmanga.info,http,403,germany
2026-02-23T23:04:31.679Z,24xxxx.win,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.24xxxx.win,germany
2026-02-23T23:04:45.875Z,arabtnt.com,http,403,germany
2026-02-23T23:05:28.780Z,googll.store,http,403,germany
2026-02-23T23:05:29.707Z,happymh.com,http,403,germany
2026-02-23T23:05:37.394Z,eroterest.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.eroterest.net,germany
2026-02-23T23:05:40.786Z,lectormangaa.com,http,403,germany
2026-02-23T23:05:41.407Z,listcrawler.eu,http,403,germany
2026-02-23T23:06:59.544Z,imgsrc.ru,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T23:07:11.580Z,manhwaweb.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,germany
2026-02-23T23:07:57.535Z,blic.rs,internal,"AbandonedError: The analyzer was abandoned, probably due to inactivity",germany
2026-02-23T23:11:57.703Z,kamababa.desi,internal,"AbandonedError: The analyzer was abandoned, probably due to inactivity",germany
