website_url;text;normalized;element;category;distance;popup;vis_color;vis_backgroundColor;vis_fontSize;vis_fontWeight;vis_clickability;vis_score
https://vungle.com;View preferences;viewpreferences;"<a class=""cmplz-btn cmplz-manage-options tcf cookie-statement"" href=""https://liftoff.ai/ja/cookie-policy/#cmplz-manage-consent-container"" data-relative_url=""#cmplz-manage-consent-container"">View preferences</a>";3;0;0;rgb(51, 51, 51);rgb(249, 249, 249);14px;500;0;-0.5
https://inmobi.com;DECLINE;decline;"<button class=""btn btn-normal cookie-button btn-p gaEvent"" role=""button"" data-event-action=""Click - Reject"" data-event-category=""Footer"" data-event-label=""Reject"" style=""margin-top: 10px; padding: 14px 12px; background: transparent; color: rgb(11, 77, 204); text-shadow: none; text-transform: uppercase; font-size: 12px; font-weight: 400; letter-spacing: 1.2px; border: 1px solid rgb(11, 77, 204); border-radius: 22px;"">Decline</button>";2;0;0;rgb(11, 77, 204);rgba(0, 0, 0, 0);12px;400;1;-0.00256176470588243
https://inmobi.com;CUSTOMIZE;customize;"<button class=""btn btn-normal cookie-button btn-p gaEvent"" role=""button"" data-event-action=""Click - Accept All"" data-event-category=""Footer"" data-event-label=""Accept All"" style=""margin-left: 10px; margin-top: 10px; padding: 14px 12px; background: transparent; color: rgb(11, 77, 204); text-shadow: none; text-transform: uppercase; font-size: 12px; font-weight: 400; letter-spacing: 1.2px; border: 1px solid rgb(11, 77, 204); border-radius: 22px;"">Customize</button>";3;0;0;rgb(11, 77, 204);rgba(0, 0, 0, 0);12px;400;1;0.1171382352941176
https://inmobi.com;ACCEPT ALL;acceptall;"<button role=""button"" class=""btn btn-p gaEvent"" data-event-action=""Click - Accept All"" data-event-category=""Footer"" data-event-label=""Accept All"" style=""margin-left: 10px; margin-top: 10px; padding: 14px 12px; background: transparent; color: rgb(11, 77, 204); text-shadow: none; text-transform: uppercase; font-size: 12px; font-weight: 400; letter-spacing: 1.2px; border: 1px solid rgb(11, 77, 204); border-radius: 22px;"">Accept All</button>";1;0;0;rgb(11, 77, 204);rgba(0, 0, 0, 0);12px;400;1;0.13236323529411764
https://openai.com;Manage Cookies;managecookies;"<button type=""button"" class=""underline"">Manage Cookies</button>";3;0;0;rgba(0, 0, 0, 0.6);rgba(0, 0, 0, 0);14px;400;1;-0.034227676930147055
https://openai.com;Manage Cookies;managecookies;"<button type=""button"" class=""transition duration-short ease-curve-a rounded-[2.5rem] text-nowrap min-h-md flex items-center justify-center gap-[0.3em] text-cta focus:outline focus:outline-1 outline-offset-2 h-[2.5rem] w-full md:w-auto bg-primary-4 text-primary-100 px-xs hover:bg-primary-12 disabled:bg-primary-4 disabled:text-primary-60 focus:bg-primary-12 focus:outline-primary-12"" aria-haspopup=""dialog"" aria-expanded=""false"" aria-controls=""radix-:r0:"" data-state=""closed"">Manage Cookies</button>";3;0;0;rgb(0, 0, 0);rgba(0, 0, 0, 0.04);14px;500;1;0.7300980392156863
https://openai.com;Reject non-essential;rejectnonessential;"<button type=""button"" class=""transition duration-short ease-curve-a rounded-[2.5rem] text-nowrap min-h-md flex items-center justify-center gap-[0.3em] text-cta focus:outline focus:outline-1 outline-offset-2 h-[2.5rem] w-full md:w-auto bg-primary-4 text-primary-100 px-xs hover:bg-primary-12 disabled:bg-primary-4 disabled:text-primary-60 focus:bg-primary-12 focus:outline-primary-12"">Reject non-essential</button>";2;0;0;rgb(0, 0, 0);rgba(0, 0, 0, 0.04);14px;500;1;0.8572647058823529
https://openai.com;Accept all;acceptall;"<button type=""button"" class=""transition duration-short ease-curve-a rounded-[2.5rem] text-nowrap min-h-md flex items-center justify-center gap-[0.3em] text-cta focus:outline focus:outline-1 outline-offset-2 h-[2.5rem] w-full md:w-auto bg-primary-4 text-primary-100 px-xs hover:bg-primary-12 disabled:bg-primary-4 disabled:text-primary-60 focus:bg-primary-12 focus:outline-primary-12"">Accept all</button>";1;0;0;rgb(0, 0, 0);rgba(0, 0, 0, 0.04);14px;500;1;0.500264705882353
https://yandex.com;Allow all;allowall;"<div class=""gdpr-popup-v3-button gdpr-popup-v3-button_id_all"" aria-label="""" role=""button"" tabindex=""0"" id=""gdpr-popup-v3-button-all"">Allow all</div>";1;0;0;rgb(47, 55, 71);rgb(255, 221, 87);14px;400;1;0.24448552754435104
https://yandex.com;Settings;settings;"<div class=""gdpr-popup-v3-button gdpr-popup-v3-button_theme_dark gdpr-popup-v3-button_id_settings"" aria-label="""" role=""button"" tabindex=""0"" id=""gdpr-popup-v3-button-settings"">Settings</div>";3;0;0;rgb(255, 255, 255);rgba(176, 189, 214, 0.2);14px;400;1;-0.16235496740752375
https://yandex.com;Cookie settings;cookiessettings;"<h1 class=""gdpr-popup-v3-main__title"">Cookie settings</h1>";3;1;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);16px;500;0;-0.5
https://yandex.com;Allow selected cookies;allowselectedcookies;"<div class=""gdpr-popup-v3-button gdpr-popup-v3-button_id_selected"" aria-label="""" role=""button"" tabindex=""0"" id=""gdpr-popup-v3-button-selected"">Allow selected cookies</div>";4;0;0;rgb(47, 55, 71);rgb(255, 221, 87);14px;400;0;-0.5
https://tinyurl.com;Allow Only Necessary;allowonlynecessary;"<span data-v-0762c5b6="""" class=""tu-button__label""><!----> Allow Only Necessary </span>";2;0;0;rgb(99, 99, 99);rgba(0, 0, 0, 0);16px;500;1;1.4176470588235295
https://tinyurl.com;Allow All Cookies;allowallcookies;"<span data-v-0762c5b6="""" class=""tu-button__label""><!----> Allow All Cookies </span>";1;0;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);16px;500;1;2.684767240229425
https://googleblog.com;Learn more;learnmore→;"<a href=""https://policies.google.com/technologies/cookies?hl=en"" class=""glue-cookie-notification-bar__more"" rel=""noopener"" aria-describedby=""glue-cookie-notification-bar-1-label"" target=""_blank"" aria-label=""Learn more about how Google uses cookies. Opens in a new tab."">Learn more</a>";3;1;0;rgb(26, 115, 232);rgba(0, 0, 0, 0);18px;400;1;-0.5420816993464053
https://googleblog.com;OK, got it;okgotit;"<button class=""glue-cookie-notification-bar__accept"">OK, got it</button>";1;0;0;rgb(255, 255, 255);rgb(26, 115, 232);16px;500;1;1.2514134691232814
https://nature.com;Accept all cookies;acceptallcookies;"<button data-cc-action=""accept"" class=""cc-button cc-button--secondary cc-button--contrast cc-banner__button cc-banner__button-accept"">Accept all cookies</button>";1;0;0;rgb(2, 94, 141);rgb(255, 255, 255);16px;700;1;2.467640196078431
https://nature.com;Manage preferences;managepreferences;"<button data-cc-action=""preferences"" aria-haspopup=""dialog"" class=""cc-button cc-button--secondary cc-button--contrast cc-banner__button cc-banner__button-preferences"">Manage preferences</button>";3;0;0;rgb(2, 94, 141);rgb(255, 255, 255);16px;700;1;2.467640196078431
https://nature.com;Close;close;"<span class=""visually-hidden"">Close</span>";1;0;1;rgb(0, 102, 153);rgba(0, 0, 0, 0);18px;400;0;-0.5
https://nature.com;Close;close;"<span class=""visually-hidden"">Close</span>";1;0;1;rgb(0, 102, 153);rgba(0, 0, 0, 0);18px;400;0;-0.5
https://hubspot.com;close;close;"<span class=""visually-hidden"" id=""hs-eu-cookie-close-button"">close</span>";1;0;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);32px;400;0;-0.5
https://hubspot.com;Accept All;acceptall;"<button id=""hs-eu-confirmation-button"" aria-label=""Accept all"" tabindex=""0"" data-hs-event-72370834=""1"">Accept all</button>";1;0;0;rgb(31, 31, 31);rgb(255, 255, 255);14px;500;1;0.9650710784313725
https://hubspot.com;Decline All;declineall;"<button id=""hs-eu-decline-button"" aria-label=""Decline all"" tabindex=""0"" data-hs-event-72370834=""1"">Decline all</button>";2;0;0;rgb(31, 31, 31);rgb(255, 255, 255);14px;500;1;0.9650710784313725
https://hubspot.com;Manage Cookies;managecookies;"<button id=""hs-eu-cookie-settings-button"" aria-label=""Manage Cookies"" tabindex=""0"" data-hs-event-72370834=""1"">Manage Cookies
      <div class=""docs-grid manage-cookie-icon"">
        <svg class=""cl-icon"">
          <use href=""#cl-icon-external-link""></use>
        </svg>
      </div>
    </button>";3;0;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);14px;500;1;0.3969123621323529
https://springer.com;Accept all cookies;acceptallcookies;"<button data-cc-action=""accept"" class=""cc-button cc-button--secondary cc-button--contrast cc-banner__button cc-banner__button-accept"">Accept all cookies</button>";1;0;0;rgb(2, 94, 141);rgb(255, 255, 255);16px;700;1;2.467640196078431
https://springer.com;Manage preferences;managepreferences;"<button data-cc-action=""preferences"" aria-haspopup=""dialog"" class=""cc-button cc-button--secondary cc-button--contrast cc-banner__button cc-banner__button-preferences"">Manage preferences</button>";3;0;0;rgb(2, 94, 141);rgb(255, 255, 255);16px;700;1;2.467640196078431
https://weebly.com;Manage cookies;managecookies;"<h2 id=""onetrust-policy-title"">Manage cookies</h2>";3;0;0;rgba(0, 0, 0, 0.9);rgba(0, 0, 0, 0);24px;700;1;1.11595
https://weebly.com;Reject All;rejectall;"<button id=""onetrust-reject-all-handler"">Reject All</button>";2;0;0;rgb(255, 255, 255);rgb(0, 106, 255);14px;500;1;1.3535424836601306
https://weebly.com;Accept all cookies;acceptallcookies;"<button id=""onetrust-accept-btn-handler"">Accept all cookies</button>";1;0;0;rgb(255, 255, 255);rgb(0, 106, 255);14px;500;1;1.4397924836601308
https://media.net;Privacy settings;privacysettings;"<span class=""cmpboxrecalltxt cmptxt_recallbtn"">Privacy settings</span>";3;0;0;rgb(11, 154, 197);rgba(0, 0, 0, 0);12px;400;0;-0.5
https://discord.gg;Cookie Settings;cookiessettings;"<a data-open-cookie-settings=""true"" href=""#"" class=""link-footer top-new-link"" tabindex=""0"">Cookie Settings</a>";3;1;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);16px;400;0;-0.5
https://expireddomains.com;Accept all;acceptall;"<button class=""cookie-consent-accept-all"">Accept all</button>";1;0;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);14.4px;400;1;-0.057434042649317896
https://expireddomains.com;Save;save;"<button class=""cookie-consent-save"" data-cc-namespace=""popup"">Save</button>";4;0;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);14.4px;400;0;-0.5
https://opendns.com;Change Settings;changesettings;"<a class=""ot-sdk-show-settings"">Change Settings</a>";3;0;0;rgb(10, 96, 255);rgba(0, 0, 0, 0);14px;700;1;-0.6890954248366014
https://smartadserver.com;Continue without agreeing →;continuewithoutagreeing→;"<span class=""didomi-continue-without-agreeing"" tabindex=""0"" role=""button"">Continue without agreeing<span aria-hidden=""true""> →</span></span>";2;0;0;rgb(0, 0, 0);rgba(0, 0, 0, 0);13px;400;1;0.13598749999999993
https://smartadserver.com;settings;settings;"<span style=""“text-decoration:underline”"">settings</span>";3;0;0;rgb(0, 94, 218);rgba(0, 0, 0, 0);13px;400;1;-0.5843014705882352
https://smartadserver.com;Learn More →;learnmore→;<span>Learn More →</span>;3;0;0;rgb(68, 68, 68);rgba(0, 0, 0, 0);11.7px;700;1;0.3426666666666667
https://smartadserver.com;Disagree and close;disagreeandclose;<span>Disagree and close</span>;2;0;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);11.7px;700;1;1.3361307189542484
https://smartadserver.com;Agree and close;agreeandclose;<span>Agree and close</span>;1;0;0;rgb(255, 255, 255);rgba(0, 0, 0, 0);11.7px;700;1;1.3361307189542484
https://dailymotion.com;I understand;iunderstand;"<button class=""CookiePopup__button___MZsxn Button__button___ro5TM Button__medium___d3zct Button__primary___FpMuc"">I understand</button>";1;0;0;rgb(13, 13, 13);rgb(255, 255, 255);14px;500;1;0.7864787581699346
https://launchdarkly.com;OK;ok;"<a href=""javascript:void(0)"" onclick=""Cookiebot.submitCustomConsent(true, true, true, false);Cookiebot.hide();setTimeout(function(){location.reload()}, 300)"" class=""c-button"">OK</a>";1;0;0;rgb(255, 255, 255);rgb(64, 91, 255);16px;400;1;1.0833241830065363
https://launchdarkly.com;Deny all;denyall;"<a href=""javascript:void(0)"" onclick=""Cookiebot.submitCustomConsent(false, false, false, false);Cookiebot.hide();setTimeout(function(){location.reload()}, 300)"" class=""c-button"">Deny all</a>";2;0;0;rgb(255, 255, 255);rgb(64, 91, 255);16px;400;1;1.0833241830065363
https://launchdarkly.com;Set cookie preference;setcookiepreferences;<h3>Set cookie preference</h3>;3;1;0;rgb(88, 89, 91);rgba(0, 0, 0, 0);32px;500;0;-0.5
